id,source,field_src,field_en,used,Note
1,WDT_main_shipment,子单原始单号,Order_ID_raw,1,
2,WDT_main_shipment,原始子订单号,Suborder_ID,1,
3,WDT_main_shipment,订单类型,Order_type,1,Возможно стоит переименовать
4,WDT_main_shipment,支付账号,Payee_ID,1,
5,WDT_main_shipment,出库单编号,CHUKUDAN_ID,1,
6,WDT_main_shipment,仓库,Warehouse,1,
7,WDT_main_shipment,仓库类型,Warehouse_type,1,
8,WDT_main_shipment,店铺,Shop_Ch,1,
9,WDT_main_shipment,出库单状态,WDT_status_1,1,
10,WDT_main_shipment,出库状态,WDT_status_2,1,
11,WDT_main_shipment,商家编码,Product_ID_long,1,
12,WDT_main_shipment,货品编号,Product_ID_long_alt,1,
13,WDT_main_shipment,货品名称,Product_name_Ch,1,
14,WDT_main_shipment,货品简称,Product_ID_short,1,
15,WDT_main_shipment,分类,WDT_product_type,1,
16,WDT_main_shipment,规格码,GUIGE_code,1,
17,WDT_main_shipment,规格名称,GUIGE_name,1,
18,WDT_main_shipment,条形码,Barcode,1,
19,WDT_main_shipment,货品数量,Pieces,1,
20,WDT_main_shipment,货品原单价,Original_price,1,
21,WDT_main_shipment,货品总优惠,Item_discount,1,
22,WDT_main_shipment,货到付款金额,On_delivery_amount,1,
23,WDT_main_shipment,退款前支付金额,Amount_paid,1,
24,WDT_main_shipment,分摊邮费,Delivery_included,1,
25,WDT_main_shipment,客户网名,Customer_nickname,1,
26,WDT_main_shipment,收件人,Receiver,1,
27,WDT_main_shipment,收货地区,Region_raw,1,
28,WDT_main_shipment,收货地址,Receiver_address,1,
29,WDT_main_shipment,收件人手机,Receiver_cell,1,
30,WDT_main_shipment,收件人电话,Receiver_fixed_phone,1,
31,WDT_main_shipment,物流公司,Carrier,1,
32,WDT_main_shipment,需开发票,Fapiao_required,1,
33,WDT_main_shipment,物流单号,Parcel_ID,1,
34,WDT_main_shipment,付款时间,Payment_timestamp,1,
35,WDT_main_shipment,发货时间,Shipment_timestamp,1,
36,WDT_main_shipment,赠品方式,Gift_type,1,
37,WDT_main_shipment,买家留言,Customer_note,1,
38,WDT_main_shipment,客服备注,Support_note,1,
39,WDT_main_shipment,打印备注,Printing_note,1,
40,WDT_main_shipment,备注,Note,1,
41,WDT_main_shipment,来源组合装编码,Set_code,1,
42,WDT_main_shipment,拆自组合装,Set_name,1,
43,WDT_main_shipment,来源组合装数量,Set_quantity,1,
44,WDT_main_shipment,分销商,Reseller,1,
45,WDT_main_shipment,下单时间,Order_timestamp,1,
46,WDT_main_shipment,审核时间,Confirmation_timestamp,1,
47,WDT_main_shipment,订单编号,,,
48,WDT_main_shipment,原始单号,,,
49,WDT_main_shipment,分拣序号,,,
50,WDT_main_shipment,品牌,,,
51,WDT_main_shipment,货品原总金额,,,
52,WDT_main_shipment,订单总优惠,,,
53,WDT_main_shipment,邮费,,,
54,WDT_main_shipment,货品成交价,,,
55,WDT_main_shipment,货品成交总价,,,
56,WDT_main_shipment,货品成本,,,
57,WDT_main_shipment,货品总成本,,,
58,WDT_main_shipment,订单支付金额,,,
59,WDT_main_shipment,应收金额,,,
60,WDT_main_shipment,单品支付金额,,,
61,WDT_main_shipment,预估邮资,,,
62,WDT_main_shipment,邮资成本,,,
63,WDT_main_shipment,订单包装成本,,,
64,WDT_main_shipment,订单毛利,,,
65,WDT_main_shipment,毛利率,,,
66,WDT_main_shipment,证件号码,,,
67,WDT_main_shipment,实际重量,,,
68,WDT_main_shipment,预估重量,,,
69,WDT_main_shipment,制单人,,,
70,WDT_main_shipment,打单员,,,
71,WDT_main_shipment,拣货员,,,
72,WDT_main_shipment,打包员,,,
73,WDT_main_shipment,检视员,,,
74,WDT_main_shipment,业务员,,,
75,WDT_main_shipment,验货员,,,
76,WDT_main_shipment,打印波次,,,
77,WDT_main_shipment,物流单打印状态,,,
78,WDT_main_shipment,发货单打印状态,,,
79,WDT_main_shipment,分拣单打印状态,,,
80,WDT_main_shipment,分拣单编号,,,
81,WDT_main_shipment,外部单号,,,
82,WDT_main_shipment,包装,,,
83,WDT_main_shipment,体积,,,
